ID,Player,Season,Top.px. (Location),Left.px. (location),Date,Opponent,Location,Quarter,Game_Clock,"Outcome (1 if made, 0 otherwise)",Shot_Value,Shot_Distance.ft.,Team_Score,Opponent_Score
curryst01,Stephen Curry,2010,299,339,102809,HOU,HOME,1,11:25,0,3,27,2,0
curryst01,Stephen Curry,2010,195,118,102809,HOU,HOME,1,9:31,1,2,19,4,2
curryst01,Stephen Curry,2010,179,180,102809,HOU,HOME,1,6:02,0,2,14,8,12
curryst01,Stephen Curry,2010,132,68,102809,HOU,HOME,2,9:49,0,2,19,28,32
curryst01,Stephen Curry,2010,198,172,102809,HOU,HOME,2,2:19,0,2,16,48,48
curryst01,Stephen Curry,2010,65,279,102809,HOU,HOME,2,00:34.1,0,2,4,56,52
curryst01,Stephen Curry,2010,199,176,102809,HOU,HOME,4,10:26,1,2,16,83,90
curryst01,Stephen Curry,2010,173,358,102809,HOU,HOME,4,6:31,1,2,17,95,99
curryst01,Stephen Curry,2010,212,361,102809,HOU,HOME,4,2:25,1,2,20,101,108
curryst01,Stephen Curry,2010,184,115,102809,HOU,HOME,4,1:47,1,2,18,103,108
curryst01,Stephen Curry,2010,51,233,102809,HOU,HOME,4,00:29.1,1,2,1,105,108
curryst01,Stephen Curry,2010,65,235,102809,HOU,HOME,4,00:00.9,1,2,2,107,108
curryst01,Stephen Curry,2010,245,392,103009,PHO,AWAY,1,10:39,0,3,25,2,0
curryst01,Stephen Curry,2010,255,159,103009,PHO,AWAY,1,9:27,1,2,22,6,4
curryst01,Stephen Curry,2010,212,365,103009,PHO,AWAY,2,1:28,1,2,20,46,53
curryst01,Stephen Curry,2010,300,164,103009,PHO,AWAY,2,1:00,1,3,26,49,56
curryst01,Stephen Curry,2010,44,82,103009,PHO,AWAY,3,8:35,0,2,16,57,67
curryst01,Stephen Curry,2010,50,240,103009,PHO,AWAY,3,2:57,0,2,0,70,83
curryst01,Stephen Curry,2010,50,240,103009,PHO,AWAY,4,10:14,0,2,0,75,94
curryst01,Stephen Curry,2010,98,335,103009,PHO,AWAY,4,9:06,1,2,11,79,99
curryst01,Stephen Curry,2010,297,241,103009,PHO,AWAY,4,7:23,1,3,25,84,104
curryst01,Stephen Curry,2010,266,367,110409,MEM,HOME,1,9:30,1,3,25,7,4
curryst01,Stephen Curry,2010,57,235,110409,MEM,HOME,1,6:06,0,2,1,13,11
curryst01,Stephen Curry,2010,158,394,110409,MEM,HOME,1,1:49,1,2,19,17,26
curryst01,Stephen Curry,2010,64,296,110409,MEM,HOME,1,00:55.9,0,2,6,17,29
curryst01,Stephen Curry,2010,308,240,110409,MEM,HOME,2,11:11,0,3,26,21,29
curryst01,Stephen Curry,2010,65,236,110409,MEM,HOME,3,4:54,1,2,2,77,72
